EW057EV	-5
MQ077WG	-5
1203725	-8
BD921DW	-5
1573207	-5
1578395	-5
1464458	-5
1135515	-5
1183252	-5
1521517	-6
1210517	-6
FM387DI	-8
952207	-6
1142152	-7
984221	-6
1553373	-8
1244644	-5
1327952	-5
1524496	-6
1559190	-6
1130955	-8
1535103	-5
1381257	-6
1041667	-6
1055808	-6
1483186	-5
1054952	-5
1197009	-5
1385032	-5
IK750RN	-6
IP417XX	-6
1564420	-8
1288818	-5
1571376	-5
1567871	-5
1328568	-5
1374066	-5
EW057DI	nan
1536580	-5
XF600QF	-5
1208813	-5
1114936	-5
1165040	-6
25349	-5
1234088	-6
827285	-5
FJ227MJ	-6
1124659	-6
1422927	-8
1270329	-6
1219403	-5
345921	-8
1367477	-6
1505268	-8
1579481	-5
HH880DL	-8
HE593LT	-6
WT253RB	-5
606449	-5
UQ050PR	-8
1549226	-6
1312819	-5
428255	-6
1013558	-5
1425272	-6
1428949	-5
1524947	-7
1533327	-8
1305690	-5
1084240	-7
831987	-6
1079411	-8
1496251	nan
1078563	-6
872451	-5
QC647KS	-6
249499	-6
828778	-5
1143410	-6
506107	-7
616751	-6
1569370	-5
1503395	-7
1388630	-5
1145713	-6
1497026	-6
1444502	-5
820387	-8
1097633	-5
1128660	-8
1147164	-5
856513	-6
1041304	-5
1307868	-5
1189725	-8
920558	-6
62977	-6
1355344	-5
575209	-5
1179075	-5
IQ300QN	-7
1272711	-6
1184498	-6
DB233EI	-5
1022235	-8
1299151	-6
871322	-5
1560722	-5
433874	-5
1557966	-5
906629	-8
636646	-5
1401878	-5
489868	-5
964685	-5
1336140	-8
1155329	-8
1567198	-5
560623	-5
98384	-6
TP903SN	-6
1213494	-6
HU113HP	-5
1051651	-6
1495360	-5
97397	-5
1411525	-5
CB832WW	-5
QE210HJ	-5
1217425	-5
1213535	-5
1057121	-5
510909	-7
1370566	-5
NJ280ID	-6
1537431	-5
1213906	-5
CP140WM	-6
1130163	-5
1294671	-5
1569348	-6
1002060	-6
1225160	-6
1328707	-6
HI713WB	-5
1150915	-6
1170978	-5
1255682	-6
564447	-6
1126979	-5
1307899	-5
1080326	-7
765488	-5
1027472	-5
1164303	-6
JK130XR	-6
662410	-5
AC363GY	-5
QG620BT	-6
1334243	-5
JS253NF	-7
1439160	-5
733021	-6
411896	-7
1495049	-5
1560782	-5
1523880	-5
1126438	-6
SP157RF	-6
555220	-8
BJ540PT	-5
1515656	6
639010	-5
1380734	-5
391378	-5
1382086	-8
1531633	-6
NQ003SV	-5
1207041	-6
1565499	-5
JB320SW	-6
1403756	-6
919141	-8
1550259	-5
106743	-8
1177977	-5
39468	-8
1199841	-5
913164	-6
1178484	-8
1148714	-5
1479464	-6
1553904	-8
630742	-6
1401811	-8
1433908	-5
1157796	-6
1229114	-5
XU620RL	-5
1407619	-5
1409046	-5
1056017	-6
1230637	-5
38880	-8
1061128	-5
CL263NI	-5
1186533	-5
619634	-6